coryza,coriza,nariz escorrendo,meu nariz está escorrendo
cough,tosse,tosse persistente,estou tossindo
coughing up sputum,tosse com expectoração,tosse com catarro,estou tossindo e eliminando catarro
cramps and spasms,cãibras e espasmos,contrações musculares,sinto cãibras e espasmos
cross eyed,estrabismo,olhos desalinhados,meus olhos parecem estar cruzados
decreased appetite,diminuição do apetite,falta de apetite,não estou com vontade de comer
decreased heart rate,frequência cardíaca reduzida,batimentos cardíacos lentos,meu coração está batendo mais devagar
delusions or hallucinations,delírios ou alucinações,percepções ou crenças irreais,estou vendo ou acreditando em coisas que não existem
depression,depressão,humor deprimido,estou me sentindo muito deprimido
depressive or psychotic symptoms,sintomas depressivos ou psicóticos,manifestações depressivas ou psicóticas,estou tendo sintomas de depressão ou psicose
diaper rash,assadura,irritação causada pela fralda,pele irritada na região da fralda
diarrhea,diarreia,fezes líquidas,estou evacuando várias vezes com fezes líquidas
difficulty breathing,dificuldade para respirar,falta de ar,estou com dificuldade para respirar
difficulty eating,dificuldade para se alimentar,dificuldade para comer,estou tendo dificuldade para comer
difficulty in swallowing,dificuldade para engolir,problema para engolir,sinto dificuldade quando engulo
difficulty speaking,dificuldade para falar,problema para falar,estou com dificuldade para falar
diminished hearing,diminuição da audição,perda parcial da audição,estou ouvindo menos
diminished vision,diminuição da visão,perda parcial da visão,estou enxergando menos
disturbance of memory,alteração da memória,problema de memória,estou tendo esquecimentos
dizziness,tontura,sensação de tontura,estou me sentindo tonto
double vision,visão dupla,diplopia,estou vendo as coisas duplicadas
drug abuse,abuso de drogas,uso excessivo de drogas,estou usando drogas em excesso
dry or flaky scalp,couro cabeludo seco ou descamando,couro cabeludo ressecado ou com descamação,meu couro cabeludo está seco e descascando
ear pain,dor de ouvido,dor na região do ouvido,meu ouvido está doendo
elbow pain,dor no cotovelo,dor na região do cotovelo,meu cotovelo está doendo
elbow swelling,inchaço no cotovelo,edema no cotovelo,meu cotovelo está inchado
excessive anger,raiva excessiva,irritabilidade intensa,estou sentindo muita raiva
excessive appetite,apetite excessivo,fome excessiva,estou com muita fome o tempo todo
excessive urination at night,urinar excessivamente à noite,necessidade frequente de urinar à noite,estou levantando várias vezes para urinar
eye burns or stings,ardor ou queimação nos olhos,irritação ou ardência nos olhos,meus olhos estão ardendo
eye deviation,desvio ocular,desalinhamento dos olhos,meu olho está desviando
eye moves abnormally,movimento anormal dos olhos,movimento incomum dos olhos,meus olhos estão se movendo de forma estranha
eye redness,vermelhidão nos olhos,olhos avermelhados,meus olhos estão vermelhos
eyelid lesion or rash,lesão ou erupção na pálpebra,irritação ou lesão na pálpebra,minha pálpebra está com uma lesão ou irritação
eyelid swelling,inchaço na pálpebra,pálpebra inchada,minha pálpebra está inchada
facial pain,dor facial,dor no rosto,meu rosto está doendo
fainting,desmaio,perda de consciência,desmaiei
fatigue,fadiga,cansaço,estou muito cansado
fears and phobias,medos e fobias,medos intensos,tenho medos ou fobias
feeling ill,mal-estar,sensação de indisposição,não estou me sentindo bem
fever,febre,temperatura corporal elevada,estou com temperatura alta
flatulence,flatulência,gases,estou com muitos gases
flu like syndrome,síndrome gripal,sintomas semelhantes aos da gripe,estou com sintomas de gripe
fluid in ear,acúmulo de líquido no ouvido,líquido no ouvido,sinto que tem líquido dentro do ouvido
fluid retention,retenção de líquidos,acúmulo de líquidos,estou retendo líquido
focal weakness,fraqueza focal,fraqueza localizada,estou com fraqueza em uma parte do corpo
foot or toe pain,dor no pé ou nos dedos do pé,dor nos pés ou dedos,meu pé ou meus dedos estão doendo
foot or toe stiffness or tightness,rigidez ou sensação de aperto no pé ou nos dedos do pé,tensão ou rigidez no pé ou dedos,sinto meu pé ou dedos rígidos ou apertados
foot or toe swelling,inchaço no pé ou nos dedos do pé,edema no pé ou dedos,meu pé ou meus dedos estão inchados
foreign body sensation in eye,sensação de corpo estranho no olho,sensação de algo dentro do olho,sinto como se tivesse algo no meu olho
frequent menstruation,menstruação frequente,ciclos menstruais frequentes,estou menstruando muitas vezes
frequent urination,micção frequente,necessidade frequente de urinar,estou urinando muitas vezes
frontal headache,dor de cabeça frontal,dor na parte da frente da cabeça,sinto dor na testa
groin mass,nódulo ou massa na virilha,caroço na virilha,senti um caroço na virilha
groin pain,dor na virilha,dor na região da virilha,minha virilha está doendo
gum pain,dor na gengiva,dor gengival,minha gengiva está doendo
hand or finger lump or mass,nódulo ou massa na mão ou nos dedos,caroço na mão ou nos dedos,senti um caroço na mão ou nos dedos
hand or finger pain,dor na mão ou nos dedos,dor nas mãos ou nos dedos,minha mão ou meus dedos estão doendo
hand or finger stiffness or tightness,rigidez ou sensação de aperto na mão ou nos dedos,tensão ou rigidez nas mãos ou dedos,sinto minha mão ou meus dedos rígidos ou apertados
hand or finger swelling,inchaço na mão ou nos dedos,edema nas mãos ou dedos,minha mão ou meus dedos estão inchados
hand or finger weakness,fraqueza na mão ou nos dedos,perda de força na mão ou dedos,minha mão ou meus dedos estão fracos
headache,dor de cabeça,cefaleia,minha cabeça está doendo
heartburn,azia,queimação no estômago,sinto queimação no peito ou estômago
heavy menstrual flow,fluxo menstrual intenso,menstruação muito intensa,estou menstruando muito
hemoptysis,hemoptise,tosse com sangue,estou tossindo sangue
hesitancy,dificuldade para iniciar a micção,dificuldade para começar a urinar,demoro para conseguir começar a urinar
hip pain,dor no quadril,dor na região do quadril,meu quadril está doendo
hip stiffness or tightness,rigidez ou sensação de aperto no quadril,tensão ou rigidez no quadril,sinto meu quadril rígido ou apertado
hoarse voice,rouquidão,voz rouca,minha voz está rouca
hostile behavior,comportamento hostil,comportamento agressivo,estou agindo de forma hostil
hot flashes,ondas de calor,fogachos,sinto ondas repentinas de calor
hurts to breath,dor ao respirar,dor durante a respiração,sinto dor quando respiro
hysterical behavior,comportamento histérico,comportamento emocional exagerado,estou tendo um comportamento muito agitado e descontrolado
impotence,impotência,disfunção erétil,estou tendo dificuldade para ter ou manter uma ereção
increased heart rate,frequência cardíaca elevada,batimentos cardíacos acelerados,meu coração está batendo muito rápido
infant feeding problem,dificuldade na alimentação do bebê,problema para alimentar o bebê,meu bebê está tendo dificuldade para se alimentar
infertility,infertilidade,dificuldade para engravidar,não consigo engravidar ou ter filhos
insomnia,insônia,dificuldade para dormir,não consigo dormir
intermenstrual bleeding,sangramento entre os períodos menstruais,sangramento fora do período menstrual,estou sangrando entre as menstruações
involuntary urination,micção involuntária,perda involuntária de urina,estou urinando sem conseguir controlar
irregular appearing nails,alteração no aspecto das unhas,mudança na aparência das unhas,minhas unhas estão com aparência diferente
irregular appearing scalp,alteração no aspecto do couro cabeludo,mudança na aparência do couro cabeludo,meu couro cabeludo está com aparência diferente
irregular belly button,alteração no aspecto do umbigo,mudança na aparência do umbigo,meu umbigo está com aparência diferente
irregular heartbeat,batimentos cardíacos irregulares,ritmo cardíaco irregular,sinto meu coração batendo de forma irregular
irritable infant,bebê irritadiço,bebê agitado,meu bebê está muito irritado
itchiness of eye,coceira nos olhos,prurido nos olhos,meus olhos estão coçando
itching of skin,coceira na pele,prurido na pele,minha pele está coçando
itching of the anus,coceira no ânus,prurido anal,meu ânus está coçando
itchy ears,coceira nos ouvidos,prurido nos ouvidos,meus ouvidos estão coçando
itchy eyelid,coceira na pálpebra,prurido na pálpebra,minha pálpebra está coçando
itchy scalp,coceira no couro cabeludo,prurido no couro cabeludo,minha cabeça está coçando
jaundice,icterícia,pele e olhos amarelados,minha pele ou meus olhos estão amarelados
jaw swelling,inchaço na mandíbula,edema na mandíbula,minha mandíbula está inchada
joint pain,dor nas articulações,dor articular,minhas articulações estão doendo
joint swelling,inchaço nas articulações,edema articular,minhas articulações estão inchadas
kidney mass,massa no rim,nódulo no rim,foi encontrada uma massa no meu rim
knee lump or mass,nódulo ou massa no joelho,caroço no joelho,senti um caroço no joelho
knee pain,dor no joelho,dor na articulação do joelho,meu joelho está doendo
knee stiffness or tightness,rigidez ou sensação de aperto no joelho,tensão ou rigidez no joelho,sinto meu joelho rígido ou apertado
knee swelling,inchaço no joelho,edema no joelho,meu joelho está inchado
knee weakness,fraqueza no joelho,perda de força no joelho,sinto fraqueza no joelho
lack of growth,atraso no crescimento,crescimento insuficiente,não estou crescendo como deveria
lacrimation,lacrimejamento,produção excessiva de lágrimas,meus olhos estão lacrimejando
leg cramps or spasms,cãibras ou espasmos na perna,contrações musculares na perna,minha perna está tendo cãibras ou espasmos
leg pain,dor na perna,dor no membro inferior,minha perna está doendo
leg stiffness or tightness,rigidez ou sensação de aperto na perna,tensão ou rigidez na perna,sinto minha perna rígida ou apertada
leg swelling,inchaço na perna,edema na perna,minha perna está inchada
leg weakness,fraqueza na perna,perda de força na perna,minha perna está fraca
lip swelling,inchaço nos lábios,edema nos lábios,meus lábios estão inchados
long menstrual periods,menstruação prolongada,período menstrual prolongado,minha menstruação está durando muito
loss of sensation,perda de sensibilidade,redução da sensibilidade,não estou sentindo uma parte do corpo direito
loss of sex drive,diminuição da libido,redução do desejo sexual,estou sem vontade de ter relações sexuais
low back pain,dor lombar,dor na região lombar,minha lombar está doendo
low self esteem,baixa autoestima,baixa confiança em si mesmo,não me sinto bem comigo mesmo
low urine output,redução do volume urinário,diminuição da produção de urina,estou urinando pouco
lower abdominal pain,dor na parte inferior do abdômen,dor no baixo ventre,minha parte de baixo da barriga está doendo
lower body pain,dor na parte inferior do corpo,dor na região inferior do corpo,estou com dor da cintura para baixo
lump in throat,sensação de caroço na garganta,sensação de algo preso na garganta,sinto como se tivesse um caroço na garganta
lump or mass of breast,nódulo ou massa na mama,caroço na mama,senti um caroço na minha mama
lymphedema,linfedema,inchaço causado por acúmulo de linfa,estou com um inchaço causado por líquido
mass in scrotum,massa no escroto,nódulo no escroto,senti um caroço no escroto
mass on eyelid,massa na pálpebra,nódulo na pálpebra,senti um caroço na pálpebra
mass or swelling around the anus,massa ou inchaço ao redor do ânus,caroço ou edema próximo ao ânus,senti um caroço ou inchaço perto do ânus
melena,melena,fezes escuras com sangue digerido,minhas fezes estão muito escuras
mouth dryness,boca seca,ressecamento da boca,sinto minha boca muito seca
mouth pain,dor na boca,dor na cavidade oral,minha boca está doendo
mouth ulcer,úlcera na boca,ferida na boca,estou com uma ferida dentro da boca
muscle cramps contractures or spasms,cãibras; contraturas ou espasmos musculares,contrações ou espasmos musculares,meus músculos estão tendo cãibras ou espasmos
muscle pain,dor muscular,dor nos músculos,meus músculos estão doendo
nasal congestion,congestão nasal,nariz entupido,estou com o nariz entupido
nausea,náusea,enjoos,estou me sentindo enjoado
neck mass,massa no pescoço,nódulo no pescoço,senti um caroço no pescoço
neck pain,dor no pescoço,dor cervical,meu pescoço está doendo
neck stiffness or tightness,rigidez ou sensação de aperto no pescoço,tensão ou rigidez cervical,sinto meu pescoço rígido ou apertado
neck swelling,inchaço no pescoço,edema no pescoço,meu pescoço está inchado
nightmares,pesadelos,sonhos ruins,estou tendo muitos pesadelos
nosebleed,sangramento nasal,hemorragia nasal,meu nariz está sangrando
obsessions and compulsions,obsessões e compulsões,pensamentos obsessivos e comportamentos compulsivos,tenho pensamentos repetitivos e sinto necessidade de realizar certas ações
pain during intercourse,dor durante a relação sexual,dor durante o sexo,sinto dor quando tenho relações sexuais
pain during pregnancy,dor durante a gravidez,dor na gestação,estou sentindo dor durante a gravidez
pain in eye,dor nos olhos,dor ocular,meus olhos estão doendo
pain in gums,dor na gengiva,dor gengival,minha gengiva está doendo
pain in testicles,dor nos testículos,dor testicular,meus testículos estão doendo
pain of the anus,dor no ânus,dor anal,meu ânus está doendo
pain or soreness of breast,dor ou sensibilidade na mama,dor ou sensibilidade mamária,minha mama está dolorida ou sensível
painful menstruation,menstruação dolorosa,cólicas menstruais,sinto muita dor quando menstruo
painful sinuses,dor nos seios da face,dor nos seios paranasais,sinto dor na região do rosto perto do nariz
painful urination,dor ao urinar,ardência ao urinar,sinto dor ou ardência quando urino
palpitations,palpitações,batimentos cardíacos perceptíveis,sinto meu coração bater forte ou acelerado
paresthesia,parestesia,formigamento,sinto formigamento ou sensação de alfinetadas
pelvic pain,dor pélvica,dor na região pélvica,sinto dor na região abaixo da barriga
penile discharge,secreção peniana,corrimento pelo pênis,está saindo secreção do meu pênis
penis pain,dor no pênis,dor peniana,meu pênis está doendo
penis redness,vermelhidão no pênis,irritação e vermelhidão no pênis,meu pênis está vermelho
peripheral edema,edema periférico,inchaço nas extremidades,estou com inchaço nas mãos ou pernas
plugged feeling in ear,sensação de ouvido tampado,ouvido entupido,sinto meu ouvido tampado
postpartum problems of the breast,problemas mamários no pós-parto,alterações nas mamas após o parto,problemas nas mamas depois do parto
problems during pregnancy,problemas durante a gravidez,complicações durante a gravidez,alterações durante a gravidez
pulling at ears,puxar as orelhas,ficar puxando as orelhas,puxar frequentemente as orelhas
pus draining from ear,saída de pus pelo ouvido,secreção com pus no ouvido,pus saindo do ouvido
recent pregnancy,gravidez recente,gravidez nos últimos meses,gestação recente
rectal bleeding,sangramento retal,sangue pelo reto,sangue nas fezes ou no reto
redness in ear,vermelhidão no ouvido,ouvido avermelhado,vermelhidão na região do ouvido
redness in or around nose,vermelhidão no nariz ou ao redor dele,nariz avermelhado,irritação e vermelhidão no nariz
regurgitation,regurgitação,refluxo de alimentos,retorno do alimento
restlessness,inquietação,agitação,incapacidade de ficar parado
retention of urine,retenção urinária,dificuldade para eliminar a urina,incapacidade de urinar
rib pain,dor nas costelas,dor na região das costelas,dor entre ou sobre as costelas
ringing in ear,zumbido no ouvido,chiado no ouvido,barulho ou apito no ouvido
seizures,convulsões,crises convulsivas,ataques convulsivos
sharp abdominal pain,dor abdominal intensa,dor forte no abdômen,dor abdominal aguda
sharp chest pain,dor intensa no peito,dor forte no peito,dor aguda no peito
shortness of breath,falta de ar,dificuldade para respirar,sensação de falta de ar
shoulder lump or mass,nódulo ou massa no ombro,caroço no ombro,massa na região do ombro
shoulder pain,dor no ombro,dor na região do ombro,ombro dolorido
shoulder stiffness or tightness,rigidez ou sensação de aperto no ombro,ombro rígido,sensação de tensão no ombro
side pain,dor na lateral do corpo,dor no lado do corpo,dor na região lateral
sinus congestion,congestão dos seios da face,nariz e seios da face congestionados,congestão nasal e dos seios da face
skin dryness peeling scaliness or roughness,ressecamento; descamação ou aspereza da pele,pele seca e descamando,pele áspera e ressecada
skin growth,crescimento na pele,formação na pele,crescimento anormal na pele
skin irritation,irritação na pele,pele irritada,irritação cutânea
skin lesion,lesão de pele,ferida na pele,alteração na pele
skin moles,pintas na pele,manchas semelhantes a pintas,nevos ou pintas na pele
skin on arm or hand looks infected,pele do braço ou da mão com aspecto de infecção,sinais de infecção na pele do braço ou mão,pele do braço ou mão com aparência infectada
skin on leg or foot looks infected,pele da perna ou do pé com aspecto de infecção,sinais de infecção na pele da perna ou pé,pele da perna ou pé com aparência infectada
skin rash,erupção cutânea,manchas ou lesões na pele,irritação com erupção na pele
skin swelling,inchaço na pele,pele inchada,edema na pele
sleepiness,sonolência,sono excessivo,muita vontade de dormir
slurring words,fala arrastada,dificuldade para falar claramente,fala pouco articulada
smoking problems,problemas relacionados ao tabagismo,problemas causados pelo cigarro,dificuldades relacionadas ao fumo
sneezing,espirros,crises de espirros,espirrar frequentemente
sore in nose,ferida no nariz,ferimento dentro ou no nariz,lesão no nariz
sore throat,dor de garganta,garganta dolorida,irritação na garganta
spots or clouds in vision,manchas ou turvação na visão,manchas na visão,visão turva ou com pontos
spotting or bleeding during pregnancy,sangramento durante a gravidez,perda de sangue durante a gravidez,pequeno sangramento na gravidez
stiffness all over,rigidez generalizada,rigidez no corpo inteiro,corpo todo rígido
stomach bloating,distensão abdominal,barriga estufada,sensação de barriga inchada
suprapubic pain,dor suprapúbica,dor abaixo do abdômen,dor na região acima do púbis
sweating,sudorese,suor excessivo,transpiração
swelling of scrotum,inchaço do escroto,escroto inchado,aumento do volume do escroto
swollen abdomen,abdômen inchado,barriga inchada,inchaço abdominal
swollen eye,inchaço no olho,olho inchado,região dos olhos inchada
swollen lymph nodes,gânglios linfáticos inchados,linfonodos aumentados,gânglios aumentados
swollen or red tonsils,amígdalas inchadas ou avermelhadas,amígdalas inflamadas,amígdalas vermelhas e inchadas
symptoms of bladder,sintomas da bexiga,problemas na bexiga,alterações na bexiga
symptoms of eye,sintomas oculares,sintomas nos olhos,problemas nos olhos
symptoms of infants,sintomas em lactentes,sintomas em bebês,sinais e sintomas em recém-nascidos e bebês
symptoms of prostate,sintomas da próstata,problemas na próstata,alterações na próstata
symptoms of the face,sintomas faciais,problemas no rosto,alterações na face
symptoms of the kidneys,sintomas renais,problemas nos rins,alterações nos rins
symptoms of the scrotum and testes,sintomas do escroto e dos testículos,problemas no escroto e testículos,alterações nos testículos e escroto
temper problems,problemas de controle da raiva,dificuldade para controlar a raiva,explosões de raiva
throat feels tight,sensação de aperto na garganta,garganta apertada,sensação de garganta fechando
throat redness,vermelhidão na garganta,garganta avermelhada,irritação e vermelhidão na garganta
throat swelling,inchaço na garganta,garganta inchada,sensação de garganta inchada
tongue lesions,lesões na língua,feridas na língua,alterações na língua
too little hair,pouca quantidade de cabelo,cabelo em pouca quantidade,rarefação dos cabelos
toothache,dor de dente,dente dolorido,dor na região do dente
unpredictable menstruation,menstruação irregular,ciclo menstrual irregular,menstruação desregulada
unusual color or odor to urine,cor ou odor incomum da urina,urina com cor diferente ou cheiro forte,alteração na cor ou no cheiro da urina
upper abdominal pain,dor na parte superior do abdômen,dor na parte de cima da barriga,dor abdominal superior
uterine contractions,contrações uterinas,contrações do útero,contrações na região uterina
vaginal discharge,corrimento vaginal,secreção vaginal,saída de secreção pela vagina
vaginal itching,coceira vaginal,coceira na vagina,prurido vaginal
vaginal pain,dor vaginal,dor na vagina,desconforto vaginal
vaginal redness,vermelhidão vaginal,vagina avermelhada,irritação e vermelhidão vaginal
vomiting,vômito,ânsia com vômito,episódios de vômito
vomiting blood,vômito com sangue,sangue no vômito,eliminar sangue ao vomitar
vulvar irritation,irritação vulvar,irritação na vulva,vulva irritada
warts,verrugas,pequenos crescimentos na pele,lesões semelhantes a verrugas
weakness,fraqueza,falta de força,sensação de fraqueza
weight gain,ganho de peso,aumento de peso,engordar
wheezing,sibilância,chiado ao respirar,respiração com chiado
white discharge from eye,secreção branca nos olhos,secreção esbranquiçada nos olhos,saída de secreção branca dos olhos
wrinkles on skin,rugas na pele,linhas na pele,pele enrugada
wrist lump or mass,nódulo ou massa no punho,caroço no punho,massa na região do punho
wrist pain,dor no punho,punho dolorido,dor na região do punho
wrist stiffness or tightness,rigidez ou sensação de aperto no punho,punho rígido,sensação de tensão no punho
wrist swelling,inchaço no punho,punho inchado,edema no punho

