symptom_en,symptom_pt
itching of skin,coceira na pele
itching of the anus,coceira no ânus
itchy ears,coceira nos ouvidos
itchy eyelid,coceira na pálpebra
itchy scalp,coceira no couro cabeludo
jaundice,icterícia
jaw swelling,inchaço na mandíbula
joint pain,dor nas articulações
joint swelling,inchaço nas articulações
kidney mass,massa no rim
knee lump or mass,nódulo ou massa no joelho
knee pain,dor no joelho
knee stiffness or tightness,rigidez ou sensação de aperto no joelho
knee swelling,inchaço no joelho
knee weakness,fraqueza no joelho
lack of growth,atraso no crescimento
lacrimation,lacrimejamento
leg cramps or spasms,cãibras ou espasmos na perna
leg pain,dor na perna
leg stiffness or tightness,rigidez ou sensação de aperto na perna
leg swelling,inchaço na perna
leg weakness,fraqueza na perna
lip swelling,inchaço nos lábios
long menstrual periods,menstruação prolongada
loss of sensation,perda de sensibilidade
loss of sex drive,diminuição da libido
low back pain,dor lombar
low self esteem,baixa autoestima
low urine output,redução do volume urinário
lower abdominal pain,dor na parte inferior do abdômen
lower body pain,dor na parte inferior do corpo
lump in throat,sensação de caroço na garganta
lump or mass of breast,nódulo ou massa na mama
lymphedema,linfedema
mass in scrotum,massa no escroto
mass on eyelid,massa na pálpebra
mass or swelling around the anus,massa ou inchaço ao redor do ânus
melena,melena
mouth dryness,boca seca
mouth pain,dor na boca
mouth ulcer,úlcera na boca
muscle cramps contractures or spasms,cãibras; contraturas ou espasmos musculares
muscle pain,dor muscular
nasal congestion,congestão nasal
nausea,náusea
neck mass,massa no pescoço
neck pain,dor no pescoço
neck stiffness or tightness,rigidez ou sensação de aperto no pescoço
neck swelling,inchaço no pescoço
nightmares,pesadelos
nosebleed,sangramento nasal
obsessions and compulsions,obsessões e compulsões
pain during intercourse,dor durante a relação sexual
pain during pregnancy,dor durante a gravidez
pain in eye,dor nos olhos
pain in gums,dor na gengiva
pain in testicles,dor nos testículos
pain of the anus,dor no ânus
pain or soreness of breast,dor ou sensibilidade na mama
painful menstruation,menstruação dolorosa
painful sinuses,dor nos seios da face
painful urination,dor ao urinar
palpitations,palpitações
paresthesia,parestesia
pelvic pain,dor pélvica
penile discharge,secreção peniana
penis pain,dor no pênis
penis redness,vermelhidão no pênis
peripheral edema,edema periférico
plugged feeling in ear,sensação de ouvido tampado
postpartum problems of the breast,problemas mamários no pós-parto
problems during pregnancy,problemas durante a gravidez
pulling at ears,puxar as orelhas
pus draining from ear,saída de pus pelo ouvido
recent pregnancy,gravidez recente
rectal bleeding,sangramento retal
redness in ear,vermelhidão no ouvido
redness in or around nose,vermelhidão no nariz ou ao redor dele
regurgitation,regurgitação
restlessness,inquietação
retention of urine,retenção urinária
rib pain,dor nas costelas
ringing in ear,zumbido no ouvido
seizures,convulsões
sharp abdominal pain,dor abdominal intensa
sharp chest pain,dor intensa no peito
shortness of breath,falta de ar
shoulder lump or mass,nódulo ou massa no ombro
shoulder pain,dor no ombro
shoulder stiffness or tightness,rigidez ou sensação de aperto no ombro
side pain,dor na lateral do corpo
sinus congestion,congestão dos seios da face
skin dryness peeling scaliness or roughness,ressecamento; descamação ou aspereza da pele
skin growth,crescimento na pele
skin irritation,irritação na pele
skin lesion,lesão de pele
skin moles,pintas na pele
skin on arm or hand looks infected,pele do braço ou da mão com aspecto de infecção
skin on leg or foot looks infected,pele da perna ou do pé com aspecto de infecção
skin rash,erupção cutânea
skin swelling,inchaço na pele
sleepiness,sonolência
slurring words,fala arrastada
smoking problems,problemas relacionados ao tabagismo
sneezing,espirros
sore in nose,ferida no nariz
sore throat,dor de garganta
spots or clouds in vision,manchas ou turvação na visão
spotting or bleeding during pregnancy,sangramento durante a gravidez
stiffness all over,rigidez generalizada
stomach bloating,distensão abdominal
suprapubic pain,dor suprapúbica
sweating,sudorese
swelling of scrotum,inchaço do escroto
swollen abdomen,abdômen inchado
swollen eye,inchaço no olho
swollen lymph nodes,gânglios linfáticos inchados
swollen or red tonsils,amígdalas inchadas ou avermelhadas
symptoms of bladder,sintomas da bexiga
symptoms of eye,sintomas oculares
symptoms of infants,sintomas em lactentes
symptoms of prostate,sintomas da próstata
symptoms of the face,sintomas faciais
symptoms of the kidneys,sintomas renais
symptoms of the scrotum and testes,sintomas do escroto e dos testículos
temper problems,problemas de controle da raiva
throat feels tight,sensação de aperto na garganta
throat redness,vermelhidão na garganta
throat swelling,inchaço na garganta
tongue lesions,lesões na língua
too little hair,pouca quantidade de cabelo
toothache,dor de dente
unpredictable menstruation,menstruação irregular
unusual color or odor to urine,cor ou odor incomum da urina
upper abdominal pain,dor na parte superior do abdômen
uterine contractions,contrações uterinas
vaginal discharge,corrimento vaginal
vaginal itching,coceira vaginal
vaginal pain,dor vaginal
vaginal redness,vermelhidão vaginal
vomiting,vômito
vomiting blood,vômito com sangue
vulvar irritation,irritação vulvar
warts,verrugas
weakness,fraqueza
weight gain,ganho de peso
wheezing,sibilância
white discharge from eye,secreção branca nos olhos
wrinkles on skin,rugas na pele
wrist lump or mass,nódulo ou massa no punho
wrist pain,dor no punho
wrist stiffness or tightness,rigidez ou sensação de aperto no punho
wrist swelling,inchaço no punho

